region,hemi,value1,value2
GU4,left,NA,NA
GU5,right,NA,NA
GU5,left,NA,NA
GU6a,right,NA,NA
GU6a,left,NA,NA
GU6b,right,NA,NA
GU6b,left,NA,NA
gVIIn,right,NA,NA
gVIIn,left,NA,NA
HATA,right,NA,NA
HATA,left,NA,NA
HB,right,NA,NA
HB,left,NA,NA
hbc,right,NA,NA
hbc,left,NA,NA
hc,right,NA,NA
hc,left,NA,NA
HEM,right,NA,NA
HEM,left,NA,NA
HIP,right,NA,NA
HIP,left,NA,NA
HPF,right,NA,NA
HPF,left,NA,NA
HY,right,NA,NA
HY,left,NA,NA
I5,right,NA,NA
I5,left,NA,NA
IA,right,NA,NA
IA,left,NA,NA
IAD,right,NA,NA
IAD,left,NA,NA
IAM,right,NA,NA
IAM,left,NA,NA
IB,right,NA,NA
IB,left,NA,NA
IC,right,NA,NA
IC,left,NA,NA
ICB,right,NA,NA
ICB,left,NA,NA
ICc,right,NA,NA
ICc,left,NA,NA
ICd,right,NA,NA
ICd,left,NA,NA
ICe,right,NA,NA
ICe,left,NA,NA
icp,right,NA,NA
icp,left,NA,NA
IF,right,NA,NA
IF,left,NA,NA
IG,right,NA,NA
IG,left,NA,NA
IGL,right,NA,NA
IGL,left,NA,NA
III,right,NA,NA
III,left,NA,NA
IIIn,right,NA,NA
IIIn,left,NA,NA
IIn,right,NA,NA
IIn,left,NA,NA
ILA,right,NA,NA
ILA,left,NA,NA
ILA1,right,NA,NA
ILA1,left,NA,NA
ILA2/3,right,NA,NA
ILA2/3,left,NA,NA
ILA5,right,NA,NA
ILA5,left,NA,NA
ILA6a,right,NA,NA
ILA6a,left,NA,NA
ILA6b,right,NA,NA
ILA6b,left,NA,NA
ILM,right,NA,NA
ILM,left,NA,NA
IMD,right,NA,NA
IMD,left,NA,NA
In,right,NA,NA
In,left,NA,NA
INC,right,NA,NA
INC,left,NA,NA
int,right,NA,NA
int,left,NA,NA
IntG,right,NA,NA
IntG,left,NA,NA
IO,right,NA,NA
IO,left,NA,NA
IP,right,NA,NA
IP,left,NA,NA
IPA,right,NA,NA
IPA,left,NA,NA
IPC,right,NA,NA
IPC,left,NA,NA
IPDL,right,NA,NA
IPDL,left,NA,NA
IPDM,right,NA,NA
IPDM,left,NA,NA
IPI,right,NA,NA
IPI,left,NA,NA
IPL,right,NA,NA
IPL,left,NA,NA
IPN,right,NA,NA
IPN,left,NA,NA
IPR,right,NA,NA
IPR,left,NA,NA
IPRL,right,NA,NA
IPRL,left,NA,NA
IRN,right,NA,NA
IRN,left,NA,NA
ISN,right,NA,NA
ISN,left,NA,NA
Isocortex,right,NA,NA
Isocortex,left,NA,NA
IV,right,NA,NA
IV,left,NA,NA
IVn,right,NA,NA
IVn,left,NA,NA
KF,right,NA,NA
KF,left,NA,NA
LA,right,NA,NA
LA,left,NA,NA
LAT,right,NA,NA
LAT,left,NA,NA
LAV,right,NA,NA
LAV,left,NA,NA
LC,right,NA,NA
LC,left,NA,NA
LD,right,NA,NA
LD,left,NA,NA
LDT,right,NA,NA
LDT,left,NA,NA
lfbs,right,NA,NA
lfbs,left,NA,NA
lfbst,right,NA,NA
lfbst,left,NA,NA
LGd,right,NA,NA
LGd,left,NA,NA
LGd-co,right,NA,NA
LGd-co,left,NA,NA
LGd-ip,right,NA,NA
LGd-ip,left,NA,NA
LGd-sh,right,NA,NA
LGd-sh,left,NA,NA
LGv,right,NA,NA
LGv,left,NA,NA
LH,right,NA,NA
LH,left,NA,NA
LHA,right,NA,NA
LHA,left,NA,NA
LIN,right,NA,NA
LIN,left,NA,NA
LING,right,NA,NA
LING,left,NA,NA
ll,right,NA,NA
ll,left,NA,NA
LM,right,NA,NA
LM,left,NA,NA
lot,right,NA,NA
lot,left,NA,NA
lotd,right,NA,NA
lotd,left,NA,NA
lotg,right,NA,NA
lotg,left,NA,NA
LP,right,NA,NA
LP,left,NA,NA
LPO,right,NA,NA
LPO,left,NA,NA
LRN,right,NA,NA
LRN,left,NA,NA
LRNm,right,NA,NA
LRNm,left,NA,NA
LRNp,right,NA,NA
LRNp,left,NA,NA
LS,right,NA,NA
LS,left,NA,NA
LSc,right,NA,NA
LSc,left,NA,NA
LSr,right,NA,NA
LSr,left,NA,NA
LSv,right,NA,NA
LSv,left,NA,NA
LSX,right,NA,NA
LSX,left,NA,NA
LT,right,NA,NA
LT,left,NA,NA
LZ,right,NA,NA
LZ,left,NA,NA
MA,right,NA,NA
MA,left,NA,NA
MA3,right,NA,NA
MA3,left,NA,NA
MARN,right,NA,NA
MARN,left,NA,NA
MB,right,NA,NA
MB,left,NA,NA
MBmot,right,NA,NA
MBmot,left,NA,NA
MBO,right,NA,NA
MBO,left,NA,NA
MBsen,right,NA,NA
MBsen,left,NA,NA
MBsta,right,NA,NA
MBsta,left,NA,NA
mcp,right,NA,NA
mcp,left,NA,NA
mct,right,NA,NA
mct,left,NA,NA
MD,right,NA,NA
MD,left,NA,NA
MDRN,right,NA,NA
MDRN,left,NA,NA
MDRNd,right,NA,NA
MDRNd,left,NA,NA
MDRNv,right,NA,NA
MDRNv,left,NA,NA
ME,right,NA,NA
ME,left,NA,NA
MEA,right,NA,NA
MEA,left,NA,NA
MED,right,NA,NA
MED,left,NA,NA
MEPO,right,NA,NA
MEPO,left,NA,NA
MEV,right,NA,NA
MEV,left,NA,NA
MEZ,right,NA,NA
MEZ,left,NA,NA
mfb,right,NA,NA
mfb,left,NA,NA
mfbc,right,NA,NA
mfbc,left,NA,NA
mfbs,right,NA,NA
mfbs,left,NA,NA
mfbse,right,NA,NA
mfbse,left,NA,NA
mfbsma,right,NA,NA
mfbsma,left,NA,NA
mfsbshy,right,NA,NA
mfsbshy,left,NA,NA
MG,right,NA,NA
MG,left,NA,NA
MGd,right,NA,NA
MGd,left,NA,NA
MGm,right,NA,NA
MGm,left,NA,NA
MGv,right,NA,NA
MGv,left,NA,NA
MH,right,NA,NA
MH,left,NA,NA
ml,right,NA,NA
ml,left,NA,NA
mlf,right,NA,NA
mlf,left,NA,NA
MM,right,NA,NA
MM,left,NA,NA
MMd,right,NA,NA
MMd,left,NA,NA
MMl,right,NA,NA
MMl,left,NA,NA
MMm,right,NA,NA
MMm,left,NA,NA
MMme,right,NA,NA
MMme,left,NA,NA
MMp,right,NA,NA
MMp,left,NA,NA
MO,right,NA,NA
MO,left,NA,NA
MOB,right,NA,NA
MOB,left,NA,NA
MOp,right,NA,NA
MOp,left,NA,NA
MOp1,right,NA,NA
MOp1,left,NA,NA
MOp2/3,right,NA,NA
MOp2/3,left,NA,NA
MOp5,right,NA,NA
MOp5,left,NA,NA
MOp6a,right,NA,NA
MOp6a,left,NA,NA
MOp6b,right,NA,NA
MOp6b,left,NA,NA
MOs,right,NA,NA
MOs,left,NA,NA
MOs1,right,NA,NA
MOs1,left,NA,NA
MOs2/3,right,NA,NA
MOs2/3,left,NA,NA
MOs5,right,NA,NA
MOs5,left,NA,NA
MOs6a,right,NA,NA
MOs6a,left,NA,NA
MOs6b,right,NA,NA
MOs6b,left,NA,NA
moV,right,NA,NA
moV,left,NA,NA
mp,right,NA,NA
mp,left,NA,NA
MPN,right,NA,NA
MPN,left,NA,NA
MPO,right,NA,NA
MPO,left,NA,NA
MPT,right,NA,NA
MPT,left,NA,NA
MRN,right,NA,NA
MRN,left,NA,NA
MS,right,NA,NA
MS,left,NA,NA
MSC,right,NA,NA
MSC,left,NA,NA
MT,right,NA,NA
MT,left,NA,NA
mtg,right,NA,NA
mtg,left,NA,NA
MTN,right,NA,NA
MTN,left,NA,NA
mtt,right,NA,NA
mtt,left,NA,NA
MV,right,NA,NA
MV,left,NA,NA
MY,right,NA,NA
MY,left,NA,NA
MY-mot,right,NA,NA
MY-mot,left,NA,NA
MY-sat,right,NA,NA
MY-sat,left,NA,NA
MY-sen,right,NA,NA
MY-sen,left,NA,NA
NB,right,NA,NA
NB,left,NA,NA
ND,right,NA,NA
ND,left,NA,NA
NDB,right,NA,NA
NDB,left,NA,NA
NI,right,NA,NA
NI,left,NA,NA
NLL,right,NA,NA
NLL,left,NA,NA
NLOT,right,NA,NA
NLOT,left,NA,NA
NLOT1,right,NA,NA
NLOT1,left,NA,NA
NLOT2,right,NA,NA
NLOT2,left,NA,NA
NLOT3,right,NA,NA
NLOT3,left,NA,NA
NOD,right,NA,NA
NOD,left,NA,NA
NOT,right,NA,NA
NOT,left,NA,NA
NPC,right,NA,NA
NPC,left,NA,NA
NR,right,NA,NA
NR,left,NA,NA
nst,right,NA,NA
nst,left,NA,NA
NTB,right,NA,NA
NTB,left,NA,NA
NTS,right,NA,NA
NTS,left,NA,NA
och,right,NA,NA
och,left,NA,NA
OLF,right,NA,NA
OLF,left,NA,NA
onl,right,NA,NA
onl,left,NA,NA
OP,right,NA,NA
OP,left,NA,NA
opt,right,NA,NA
opt,left,NA,NA
or,right,NA,NA
or,left,NA,NA
ORB,right,NA,NA
ORB,left,NA,NA
ORBl,right,NA,NA
ORBl,left,NA,NA
ORBl1,right,NA,NA
ORBl1,left,NA,NA
ORBl2/3,right,NA,NA
ORBl2/3,left,NA,NA
ORBl5,right,NA,NA
ORBl5,left,NA,NA
ORBl6a,right,NA,NA
ORBl6a,left,NA,NA
ORBl6b,right,NA,NA
ORBl6b,left,NA,NA
ORBm,right,NA,NA
